feature,chi2,p,n_target,n_reference
staged,8.360868710847368,0.0038338724060839047,17,2
videos,8.360868710847368,0.0038338724060839047,17,2
really,8.320232220927311,0.003920590746601782,31,8
towns,8.320232220927311,0.003920590746601782,31,8
desire,8.309951670260618,0.003942844038022364,22,4
belgorod,8.241286198623696,0.004094810527486281,14,1
blind,8.241286198623696,0.004094810527486281,14,1
mentioned,8.240079714839732,0.004097533281411381,58,22
repeatedly,8.215259924994003,0.004153956456980357,41,13
discussion,8.202132041400091,0.00418411935161267,39,12
meetings,8.202132041400091,0.00418411935161267,39,12
rather,8.008476476925267,0.004655889197876961,52,19
provided,7.964434357777679,0.00477053967431984,61,24
today,7.963637674902444,0.004772639873555695,316,187
leading,7.936162496025743,0.004845648693013849,19,3
put,7.873302132253817,0.005016995421246229,59,23
campaign,7.804982661628628,0.005210236597356976,28,7
way,7.746188815487356,0.0053826014951228185,129,65
kind,7.722916516599568,0.005452424443953663,42,14
schools,7.722916516599568,0.005452424443953663,42,14
context,7.688538735331847,0.005557260480514192,40,13
objective,7.682218588450851,0.0055767565052399215,32,9
significant,7.682218588450851,0.0055767565052399215,32,9
america,7.6431324426396685,0.005698886662908076,21,4
incidents,7.6431324426396685,0.005698886662908076,21,4
views,7.6431324426396685,0.005698886662908076,21,4
aspects,7.641482021732702,0.005704103251917281,16,2
ignored,7.641482021732702,0.005704103251917281,16,2
polish,7.641482021732702,0.005704103251917281,16,2
anti-constitutional,7.493690601669465,0.006191553398832705,13,1
briefer,7.493690601669465,0.006191553398832705,13,1
collaborators,7.493690601669465,0.006191553398832705,13,1
d'etat,7.493690601669465,0.006191553398832705,13,1
deliveries,7.493690601669465,0.006191553398832705,13,1
fought,7.493690601669465,0.006191553398832705,13,1
kuleba,7.493690601669465,0.006191553398832705,13,1
think,7.4303665949913995,0.006413227550449485,58,23
began,7.326141118210535,0.006795880321044279,45,16
allies,7.29919275510016,0.0068985597579858116,25,6
democracy,7.29919275510016,0.0068985597579858116,25,6
foreign,7.257553979851526,0.007060338925023113,100,48
circulated,7.248458446342217,0.0070961905983281115,18,3
functions,7.248458446342217,0.0070961905983281115,18,3
self-determination,7.248458446342217,0.0070961905983281115,18,3
took,7.207052570347584,0.007261765115348151,68,29
hope,7.195860378079222,0.007307194767405156,61,25
tried,7.171074091707609,0.0074088402531097275,39,13
obvious,7.13710117872545,0.0075505116969835084,37,12
rule,7.13710117872545,0.0075505116969835084,37,12
germany,7.116216783664684,0.007638973805227045,31,9
procedure,7.116216783664684,0.007638973805227045,31,9
official,7.114873068908214,0.007644701661768227,35,11
choice,7.106846861044983,0.007679006563072632,33,10
merely,6.984674744381121,0.00822105920648164,20,4
news,6.984674744381121,0.00822105920648164,20,4
fate,6.9277078184783365,0.008487039315798528,15,2
internet,6.9277078184783365,0.008487039315798528,15,2
now,6.90198033339614,0.008610032470405593,293,175
us,6.798306445432064,0.009124438216428499,203,115
concluded,6.761520778841024,0.009314434632213153,11,0
correct,6.761520778841024,0.009314434632213153,11,0
slogans,6.761520778841024,0.009314434632213153,11,0
delivery,6.7490883282932455,0.009379559903617274,12,1
governments,6.7490883282932455,0.009379559903617274,12,1
provoked,6.7490883282932455,0.009379559903617274,12,1
street,6.7490883282932455,0.009379559903617274,12,1
white,6.7490883282932455,0.009379559903617274,12,1
things,6.716430769174107,0.009552861934697843,40,14
