feature,chi2,p,n_target,n_reference
group,0.4334443879394089,0.5103036614359986,435,0
earlier,0.4333881948768047,0.510331078755993,153,0
join,0.4333881948768047,0.510331078755993,153,0
get,0.4305548852337689,0.5117168000745259,152,0
investigations,0.4305548852337689,0.5117168000745259,152,0
respected,0.4305548852337689,0.5117168000745259,152,0
spanish,0.4305548852337689,0.5117168000745259,152,0
men,0.4277215848964893,0.5131090547570336,151,0
keep,0.4248882938649201,0.5145079040742627,150,0
secure,0.4248882938649201,0.5145079040742627,150,0
airlines,0.4220550121390155,0.5159134102834003,149,0
although,0.4220550121390155,0.5159134102834003,149,0
contribute,0.4220550121390155,0.5159134102834003,149,0
ever,0.4220550121390155,0.5159134102834003,149,0
main,0.4220550121390155,0.5159134102834003,149,0
mentioned,0.4220550121390155,0.5159134102834003,149,0
mrs,0.4220550121390155,0.5159134102834003,149,0
regret,0.4220550121390155,0.5159134102834003,149,0
south,0.4220550121390155,0.5159134102834003,149,0
long,0.4216462327857578,0.5161167470855678,430,0
still,0.4216462327857578,0.5161167470855678,430,0
bodies,0.41922173971872956,0.5173256366509369,148,0
ireland,0.41922173971872956,0.5173256366509369,148,0
deaths,0.41638847660401646,0.518744647476221,147,0
maintain,0.41638847660401646,0.518744647476221,147,0
wounded,0.41638847660401646,0.518744647476221,147,0
facilities,0.41459412896749703,0.5196468691002464,427,0
lies,0.4135552227948304,0.5201705081157293,146,0
manner,0.4135552227948304,0.5201705081157293,146,0
ofthe,0.4135552227948304,0.5201705081157293,146,0
period,0.4135552227948304,0.5201705081157293,146,0
resume,0.4135552227948304,0.5201705081157293,146,0
bucha,0.4107219782911255,0.5216032850080827,145,0
convening,0.4107219782911255,0.5216032850080827,145,0
happened,0.4107219782911255,0.5216032850080827,145,0
total,0.4107219782911255,0.5216032850080827,145,0
safe,0.4099041501629741,0.5220181589508351,425,0
albania,0.40788874309285594,0.5230430456998317,144,0
allegations,0.40788874309285594,0.5230430456998317,144,0
centre,0.40788874309285594,0.5230430456998317,144,0
coming,0.40788874309285594,0.5230430456998317,144,0
crash,0.40788874309285594,0.5230430456998317,144,0
financial,0.40788874309285594,0.5230430456998317,144,0
journalists,0.40788874309285594,0.5230430456998317,144,0
massive,0.40788874309285594,0.5230430456998317,144,0
met,0.40788874309285594,0.5230430456998317,144,0
citizens,0.4075626361822028,0.5232092145187319,424,0
per,0.4075626361822028,0.5232092145187319,424,0
completely,0.40505551719997585,0.5244898588720455,143,0
hit,0.40505551719997585,0.5244898588720455,143,0
movement,0.40505551719997585,0.5244898588720455,143,0
unilateral,0.40505551719997585,0.5244898588720455,143,0
country,0.4031540584332291,0.5254648488196647,1316,2
africa,0.40222230061243935,0.5259437943677309,142,0
agency,0.40222230061243935,0.5259437943677309,142,0
america,0.40222230061243935,0.5259437943677309,142,0
demand,0.40222230061243935,0.5259437943677309,142,0
include,0.40222230061243935,0.5259437943677309,142,0
light,0.40222230061243935,0.5259437943677309,142,0
mandate,0.40222230061243935,0.5259437943677309,142,0
apakan,0.39938909333020073,0.5274049232201171,141,0
dire,0.39938909333020073,0.5274049232201171,141,0
related,0.39938909333020073,0.5274049232201171,141,0
think,0.39938909333020073,0.5274049232201171,141,0
brutal,0.396555895353214,0.528873317681837,140,0
created,0.396555895353214,0.528873317681837,140,0
displacement,0.396555895353214,0.528873317681837,140,0
establishment,0.396555895353214,0.528873317681837,140,0
lithuania,0.396555895353214,0.528873317681837,140,0
mechanisms,0.396555895353214,0.528873317681837,140,0
promote,0.396555895353214,0.528873317681837,140,0
adoption,0.3937227066814334,0.5303490512550426,139,0
arab,0.3937227066814334,0.5303490512550426,139,0
building,0.3937227066814334,0.5303490512550426,139,0
goal,0.3937227066814334,0.5303490512550426,139,0
initiatives,0.3937227066814334,0.5303490512550426,139,0
price,0.3937227066814334,0.5303490512550426,139,0
unhindered,0.3937227066814334,0.5303490512550426,139,0
water,0.39356325159978683,0.5304323270315916,418,0
numbers,0.390889527314813,0.5318321987224888,138,0
officials,0.390889527314813,0.5318321987224888,138,0
party,0.390889527314813,0.5318321987224888,138,0
scale,0.390889527314813,0.5318321987224888,138,0
tanks,0.390889527314813,0.5318321987224888,138,0
toll,0.390889527314813,0.5318321987224888,138,0
true,0.390889527314813,0.5318321987224888,138,0
uphold,0.390889527314813,0.5318321987224888,138,0
monitor,0.3880563572533071,0.5333228361796264,137,0
netherlands,0.3880563572533071,0.5333228361796264,137,0
shown,0.3880563572533071,0.5333228361796264,137,0
safety,0.38659627569719746,0.5340939919084666,415,0
under-secretary-general,0.38659627569719746,0.5340939919084666,415,0
abuses,0.38522319649686976,0.5348210410677443,136,0
controlled,0.38522319649686976,0.5348210410677443,136,0
girls,0.38522319649686976,0.5348210410677443,136,0
potential,0.38522319649686976,0.5348210410677443,136,0
red,0.38522319649686976,0.5348210410677443,136,0
rhetoric,0.38522319649686976,0.5348210410677443,136,0
emirates,0.38239004504545515,0.5363268922082012,135,0
fleeing,0.38239004504545515,0.5363268922082012,135,0
found,0.38239004504545515,0.5363268922082012,135,0
large,0.38239004504545515,0.5363268922082012,135,0
often,0.38239004504545515,0.5363268922082012,135,0
conclude,0.37955690289901745,0.5378404698377934,134,0
deliver,0.37955690289901745,0.5378404698377934,134,0
elderly,0.37955690289901745,0.5378404698377934,134,0
greater,0.37955690289901745,0.5378404698377934,134,0
growing,0.37955690289901745,0.5378404698377934,134,0
saw,0.37955690289901745,0.5378404698377934,134,0
sent,0.37955690289901745,0.5378404698377934,134,0
stress,0.37955690289901745,0.5378404698377934,134,0
anyone,0.37672377005751084,0.5393618556453055,133,0
es-11,0.37672377005751084,0.5393618556453055,133,0
fertilizer,0.37672377005751084,0.5393618556453055,133,0
remind,0.37672377005751084,0.5393618556453055,133,0
away,0.3738906465208894,0.5408911328092891,132,0
ghana,0.3738906465208894,0.5408911328092891,132,0
imperative,0.3738906465208894,0.5408911328092891,132,0
mechanism,0.3738906465208894,0.5408911328092891,132,0
move,0.3738906465208894,0.5408911328092891,132,0
poroshenko,0.3738906465208894,0.5408911328092891,132,0
allowed,0.3710575322891074,0.5424283860371264,131,0
blatant,0.3710575322891074,0.5424283860371264,131,0
early,0.3710575322891074,0.5424283860371264,131,0
affected,0.3704281323523607,0.5427709917862988,408,0
discussions,0.36822442736211886,0.5439737016054265,130,0
fear,0.36822442736211886,0.5439737016054265,130,0
obligation,0.36822442736211886,0.5439737016054265,130,0
referendums,0.36822442736211886,0.5439737016054265,130,0
six,0.36822442736211886,0.5439737016054265,130,0
supported,0.36822442736211886,0.5439737016054265,130,0
workers,0.36822442736211886,0.5439737016054265,130,0
approximately,0.36539133173987803,0.5455271674018147,129,0
chinese,0.36539133173987803,0.5455271674018147,129,0
incidents,0.36539133173987803,0.5455271674018147,129,0
india,0.36539133173987803,0.5455271674018147,129,0
lines,0.36539133173987803,0.5455271674018147,129,0
whether,0.36539133173987803,0.5455271674018147,129,0
includes,0.3625582454223391,0.5470888729681737,128,0
levels,0.3625582454223391,0.5470888729681737,128,0
reiterates,0.3625582454223391,0.5470888729681737,128,0
third,0.3625582454223391,0.5470888729681737,128,0
confirmed,0.3597251684094562,0.5486589095453962,127,0
ethnic,0.3597251684094562,0.5486589095453962,127,0
fight,0.3597251684094562,0.5486589095453962,127,0
filtration,0.3597251684094562,0.5486589095453962,127,0
ones,0.3597251684094562,0.5486589095453962,127,0
simonovie,0.3597251684094562,0.5486589095453962,127,0
under-secretary,0.3597251684094562,0.5486589095453962,127,0
colleague,0.35689210070118343,0.5502373701197176,126,0
conduct,0.35689210070118343,0.5502373701197176,126,0
family,0.35689210070118343,0.5502373701197176,126,0
illegally,0.35689210070118343,0.5502373701197176,126,0
inquiry,0.35689210070118343,0.5502373701197176,126,0
neighbours,0.35689210070118343,0.5502373701197176,126,0
ongoing,0.354388587797455,0.55163930851438,401,0
detention,0.35405904229747504,0.5518243494706955,125,0
election,0.35405904229747504,0.5518243494706955,125,0
facing,0.35405904229747504,0.5518243494706955,125,0
fertilizers,0.35405904229747504,0.5518243494706955,125,0
hunger,0.35405904229747504,0.5518243494706955,125,0
mh-17,0.35405904229747504,0.5518243494706955,125,0
subject,0.35405904229747504,0.5518243494706955,125,0
veto,0.35405904229747504,0.5518243494706955,125,0
calling,0.3512259931982851,0.5534199442209091,124,0
condolences,0.3512259931982851,0.5534199442209091,124,0
downing,0.3512259931982851,0.5534199442209091,124,0
eight,0.3512259931982851,0.5534199442209091,124,0
minorities,0.3512259931982851,0.5534199442209091,124,0
outside,0.3512259931982851,0.5534199442209091,124,0
strike,0.3512259931982851,0.5534199442209091,124,0
türkiye,0.3512259931982851,0.5534199442209091,124,0
crimea,0.34953876400990935,0.5543743407511355,855,1
de-escalate,0.3483929534035679,0.5550242528874544,123,0
grateful,0.3483929534035679,0.5550242528874544,123,0
proposed,0.3483929534035679,0.5550242528874544,123,0
trust,0.3483929534035679,0.5550242528874544,123,0
delivery,0.3455599229132775,0.556637375935316,122,0
furthermore,0.3455599229132775,0.556637375935316,122,0
impartial,0.3455599229132775,0.556637375935316,122,0
recorded,0.3455599229132775,0.556637375935316,122,0
severe,0.3455599229132775,0.556637375935316,122,0
terror,0.3455599229132775,0.556637375935316,122,0
terrorist,0.3455599229132775,0.556637375935316,122,0
accountability,0.34528348055796315,0.5567952578854871,397,0
evacuation,0.3427269017273681,0.5582594158326989,121,0
half,0.3427269017273681,0.5582594158326989,121,0
protected,0.3427269017273681,0.5582594158326989,121,0
