feature,chi2,p,n_target,n_reference
instead,13.651842167597453,2.200253479822667e-4,67,14
occupation,13.643891758423926,2.2095896945717453e-4,56,10
iranian,13.575499102891532,2.2915704903003764e-4,23,0
kremlin's,13.575499102891532,2.2915704903003764e-4,23,0
lie,13.575499102891532,2.2915704903003764e-4,23,0
chamber,13.520004878663677,2.360338029209208e-4,102,28
vessels,13.514624888586566,2.367114426271577e-4,44,6
impunity,13.35101532826558,2.582827491537376e-4,69,15
united,13.333867070881599,2.6065543188003026e-4,1287,637
internationally,13.227047888411981,2.7593807131742754e-4,143,46
state,13.098640695169228,2.955101268777849e-4,178,62
ask,12.98723818028639,3.1362122362399436e-4,43,6
apartment,12.985207334845148,3.1396157153851245e-4,22,0
liberated,12.985207334845148,3.1396157153851245e-4,22,0
video,12.985207334845148,3.1396157153851245e-4,22,0
wagner,12.985207334845148,3.1396157153851245e-4,22,0
destroying,12.90174277843231,3.282763213301454e-4,60,12
war,12.769519842451622,3.523132608844737e-4,1791,915
democratic,12.601761779421437,3.853833308123944e-4,36,4
yesterday,12.567723610583398,3.924663448588994e-4,85,22
campaign,12.489387003597363,4.0927046704675174e-4,29,2
transfer,12.46700660051712,4.142033262486411e-4,45,7
cent,12.404192803207017,4.2837093806780135e-4,127,40
detention,12.39492035599002,4.3050335595729017e-4,21,0
wanted,12.330508209672848,4.4561507244855747e-4,25,1
child,12.005537743040197,5.304270430174229e-4,47,8
free,12.004915138020499,5.306042723938198e-4,66,15
thing,11.969190033131433,5.408744708236268e-4,38,5
list,11.940516192572625,5.492625951731833e-4,41,6
night,11.940516192572625,5.492625951731833e-4,41,6
deny,11.91751098843756,5.560873074724748e-4,28,2
friends,11.91751098843756,5.560873074724748e-4,28,2
journalists,11.91751098843756,5.560873074724748e-4,28,2
izyum,11.804638166267864,5.908334337370036e-4,20,0
nazi,11.804638166267864,5.908334337370036e-4,20,0
poland's,11.804638166267864,5.908334337370036e-4,20,0
tortured,11.804638166267864,5.908334337370036e-4,20,0
face,11.753572314375413,6.072657334459386e-4,116,36
chose,11.746806624146858,6.094771917909414e-4,24,1
forcible,11.746806624146858,6.094771917909414e-4,24,1
tell,11.746806624146858,6.094771917909414e-4,24,1
$,11.719402614794237,6.185180666080647e-4,73,18
europe,11.696621603499535,6.261367821269737e-4,169,60
permanent,11.650415064116588,6.418821152043286e-4,136,45
identity,11.511324907680818,6.917345633643546e-4,34,4
november,11.511324907680818,6.917345633643546e-4,34,4
parents,11.447826066510435,7.157768981812529e-4,43,7
amount,11.438177218750736,7.195033868871992e-4,37,5
else,11.346910677308912,7.557357770703321e-4,27,2
plan,11.31825753589315,7.674869960251351e-4,67,16
world's,11.298516905001602,7.756902808331301e-4,72,18
account,11.266959074049074,7.889886977731075e-4,89,25
annual,11.214360765620393,8.116676345594209e-4,19,0
gathered,11.214360765620393,8.116676345594209e-4,19,0
publicly,11.214360765620393,8.116676345594209e-4,19,0
win,11.214360765620393,8.116676345594209e-4,19,0
illegitimate,11.163659131829457,8.341523573328624e-4,23,1
proud,11.163659131829457,8.341523573328624e-4,23,1
words,11.091589184066537,8.672013673131085e-4,69,17
simple,10.969770473570488,9.261023027503645e-4,33,4
bodies,10.94318672019659,9.394844446388717e-4,42,7
attacks,10.915891905509412,9.534280169317677e-4,512,233
delivered,10.910062376001358,9.564330500116958e-4,36,5
destroyed,10.894902871286092,9.642924539841058e-4,127,42
demand,10.891073056955983,9.662883231639219e-4,53,11
society,10.889044126613376,9.673473718851966e-4,66,16
criminals,10.777722239572743,0.0010272901888705999,26,2
wrong,10.777722239572743,0.0010272901888705999,26,2
fully,10.699258915927276,0.0010717845840712004,144,50
since,10.680534103159417,0.0010826879651386623,357,154
home,10.626732449809854,0.0011146449386977286,47,9
detained,10.624088153989328,0.0011162399683348756,18,0
georgia,10.624088153989328,0.0011162399683348756,18,0
inspections,10.624088153989328,0.0011162399683348756,18,0
kilometres,10.624088153989328,0.0011162399683348756,18,0
kindergartens,10.624088153989328,0.0011162399683348756,18,0
terrorize,10.624088153989328,0.0011162399683348756,18,0
terrorizing,10.624088153989328,0.0011162399683348756,18,0
non-governmental,10.581137381003296,0.0011424734922715896,22,1
struck,10.581137381003296,0.0011424734922715896,22,1
behaviour,10.551189749094192,0.0011611332309086064,29,3
graves,10.551189749094192,0.0011611332309086064,29,3
violating,10.551189749094192,0.0011611332309086064,29,3
disregard,10.522162211122243,0.00117951397022098,44,8
hear,10.522162211122243,0.00117951397022098,44,8
last,10.510093254037608,0.0011872426366253963,242,97
doubt,10.442122639571588,0.0012317363655447444,41,7
simply,10.429306481041346,0.0012403130833821274,52,11
